deleted,ransomware_lab\sample.txt,1755927039.380535
created,ransomware_lab\sample.txt,1755927052.6927357
modified,ransomware_lab\sample.txt,1755927064.2123427
modified,ransomware_lab\sample.txt,1755927064.2127874
modified,ransomware_lab\sample.txt,1755927064.214587
modified,ransomware_lab\sample.txt,1755927103.313714
modified,ransomware_lab\sample.txt,1755927103.3163116
modified,ransomware_lab\sample.txt,1755927103.3165421
modified,ransomware_lab\sample.txt,1756028969.7876444
deleted,ransomware_lab\sample.txt,1756028980.885052
created,ransomware_lab\sample.txt,1756028999.8711097
modified,ransomware_lab\sample.txt,1756029003.9231539
modified,ransomware_lab\sample.txt,1756029010.0729327
modified,ransomware_lab\sample.txt,1756029010.0743325
created,ransomware_lab\yryhwjpocv.txt,1756029050.2487907
modified,ransomware_lab\yryhwjpocv.txt,1756029050.2489147
created,ransomware_lab\pzoxuqpxgj.txt,1756029050.2495604
modified,ransomware_lab\pzoxuqpxgj.txt,1756029050.2498212
created,ransomware_lab\zzvthyyvjl.txt,1756029050.2506313
modified,ransomware_lab\zzvthyyvjl.txt,1756029050.2509475
created,ransomware_lab\ndyuadgdeg.txt,1756029050.2519577
modified,ransomware_lab\ndyuadgdeg.txt,1756029050.2521234
created,ransomware_lab\dymunpctbc.txt,1756029050.2524796
modified,ransomware_lab\dymunpctbc.txt,1756029050.2526624
created,ransomware_lab\jupjjsklle.txt,1756029050.2533405
modified,ransomware_lab\jupjjsklle.txt,1756029050.2536287
created,ransomware_lab\nmqpbnedmd.txt,1756029050.2539406
modified,ransomware_lab\nmqpbnedmd.txt,1756029050.2541943
created,ransomware_lab\wyviychfeb.txt,1756029050.2551546
modified,ransomware_lab\wyviychfeb.txt,1756029050.2553954
created,ransomware_lab\onbiuvbvgv.txt,1756029050.255664
modified,ransomware_lab\onbiuvbvgv.txt,1756029050.2558613
created,ransomware_lab\kssjqipokr.txt,1756029050.25643
modified,ransomware_lab\kssjqipokr.txt,1756029050.2566903
created,ransomware_lab\whsrtrfbfo.txt,1756029050.2569506
modified,ransomware_lab\whsrtrfbfo.txt,1756029050.2571805
created,ransomware_lab\szipnqztga.txt,1756029050.257497
modified,ransomware_lab\szipnqztga.txt,1756029050.257739
created,ransomware_lab\zukyorhcpv.txt,1756029050.2583
modified,ransomware_lab\zukyorhcpv.txt,1756029050.2590663
created,ransomware_lab\yoattfevpe.txt,1756029050.2594085
modified,ransomware_lab\yoattfevpe.txt,1756029050.2594905
created,ransomware_lab\quczmzqfot.txt,1756029050.2596962
modified,ransomware_lab\quczmzqfot.txt,1756029050.2599385
created,ransomware_lab\xjferygzqy.txt,1756029050.2603028
modified,ransomware_lab\xjferygzqy.txt,1756029050.2604685
created,ransomware_lab\ruxhvyauge.txt,1756029050.2607434
modified,ransomware_lab\ruxhvyauge.txt,1756029050.2609706
created,ransomware_lab\apfhpmkvcl.txt,1756029050.2614555
modified,ransomware_lab\apfhpmkvcl.txt,1756029050.2616825
